"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","HRL","10.0","561.8","5618.00","561.8","5618.00"
"Total :"," "," "," ","5618.00"," ","5618.00"
